Species,GarciaPenaMLog,GarciaPenaFLog,GarciaPenaAveLog,IwaniukArnoldLog,IwaniukNelsonLog,IwaniukDeanNelsonLog,SayolLog,CorfieldLog
Charadrius_pecuarius,-0.174353387,-0.210721031,-0.192537209,NA,NA,NA,-0.168,NA
Charadrius_placidus,0.09531018,0.048790164,0.072050172,NA,NA,NA,NA,NA
Charadrius_ruficapillus,-0.116533816,-0.301105093,-0.208819455,NA,-0.198450939,NA,-0.18,NA
Charadrius_semipalmatus,-0.030459207,-0.051293294,-0.040876251,NA,-0.040821995,NA,-0.083,NA
Charadrius_tricollaris,-0.314710745,-0.235722334,-0.27521654,NA,NA,NA,-0.223,NA
Charadrius_vociferus,0.131028262,0.19062036,0.160824311,NA,0.113328685,NA,0.151,NA
Charadrius_wilsonia,0.086177696,0.029558802,0.057868249,NA,NA,NA,0.025,NA
Charmosyna_papou,NA,NA,NA,NA,1.238374231,1.238374231,1.231,NA
Charmosyna_pulchella,NA,NA,NA,NA,0.329303747,0.329303747,0.328,NA
Chelidoptera_tenebrosa,NA,NA,NA,NA,-0.162518929,NA,-0.136,NA
