"scientific_name","social"
"Ptilinopus alligator",0
"Megaloprepia magnifica",0
"Ptilinopus perlatus",1
"Ptilinopus ornatus",1
"Ptilinopus gestroi",0
"Ptilinopus aurantiifrons",1
"Ptilinopus superbus",1
"Ptilinopus perousii",1
"Ptilinopus porphyraceus",1
"Ptilinopus regina",0
"Ptilinopus richardsii",1
"Ptilinopus coronulatus",1
"Ptilinopus pulchellus",0
"Ptilinopus monacha",0
"Ptilinopus rivoli",0
"Ptilinopus solomonensis",0
"Ptilinopus viridis",1
"Ptilinopus iozonus",1
"Ptilinopus insolitus",1
"Ptilinopus hyogastrus",1
"Alectroenas madagascariensis",1
"Alectroenas sganzini",1
"Ducula forsteni",1
"Ducula mindorensis",0
"Ducula radiata",1
"Ducula carola",1
"Ducula aenea",0
"Ducula nicobarica",0
"Ducula concinna",1
"Ducula pacifica",1
"Ducula rubricera",1
"Ducula rufigaster",0
"Ducula chalconota",0
"Ducula rosacea",1
"Ducula whartoni",1
"Ducula pickeringii",0
"Ducula latrans",0
"Ducula bakeri",0
"Ducula pinon",1
"Ducula melanochroa",1
"Ducula mullerii",0
"Ducula zoeae",0
"Ducula badia",0
"Ducula lacernulata",0
"Ducula cineracea",0
"Ducula bicolor",1
"Ducula luctuosa",1
