"scientific_name","order","family","genus","species","colonial","social","pairs_and_family_groups","singly_and_pairs","solitary"
"Megapodius geelvinkianus","Galliformes","Megapodiidae","Megapodius","geelvinkianus",NA,NA,NA,NA,NA
"Megapodius eremita","Galliformes","Megapodiidae","Megapodius","eremita",0,0,1,1,0
"Megapodius layardi","Galliformes","Megapodiidae","Megapodius","layardi",0,0,1,1,1
"Megapodius decollatus","Galliformes","Megapodiidae","Megapodius","decollatus",NA,NA,NA,NA,NA
"Megapodius reinwardt","Galliformes","Megapodiidae","Megapodius","reinwardt",0,0,0,1,0
"Ortalis vetula","Galliformes","Cracidae","Ortalis","vetula",0,1,0,0,0
"Ortalis cinereiceps","Galliformes","Cracidae","Ortalis","cinereiceps",0,0,1,0,0
"Ortalis garrula","Galliformes","Cracidae","Ortalis","garrula",0,1,0,0,0
"Ortalis ruficauda","Galliformes","Cracidae","Ortalis","ruficauda",0,1,1,0,0
"Ortalis erythroptera","Galliformes","Cracidae","Ortalis","erythroptera",0,0,1,0,0
"Ortalis wagleri","Galliformes","Cracidae","Ortalis","wagleri",0,0,1,0,0
"Ortalis poliocephala","Galliformes","Cracidae","Ortalis","poliocephala",0,1,0,0,0
"Ortalis canicollis","Galliformes","Cracidae","Ortalis","canicollis",0,1,0,0,0
"Ortalis leucogastra","Galliformes","Cracidae","Ortalis","leucogastra",0,0,1,0,0
"Ortalis guttata","Galliformes","Cracidae","Ortalis","guttata",0,1,0,0,0
"Ortalis araucuan","Galliformes","Cracidae","Ortalis","araucuan",0,1,0,0,0
"Ortalis squamata","Galliformes","Cracidae","Ortalis","squamata",0,0,1,0,0
"Ortalis columbiana","Galliformes","Cracidae","Ortalis","columbiana",0,1,1,0,0
"Ortalis motmot","Galliformes","Cracidae","Ortalis","motmot",0,0,1,0,0
"Ortalis ruficeps","Galliformes","Cracidae","Ortalis","ruficeps",0,1,1,0,0
"Ortalis superciliaris","Galliformes","Cracidae","Ortalis","superciliaris",0,1,0,0,0
"Penelope argyrotis","Galliformes","Cracidae","Penelope","argyrotis",0,0,1,0,0
"Penelope barbata","Galliformes","Cracidae","Penelope","barbata",0,0,1,1,0
"Penelope ortoni","Galliformes","Cracidae","Penelope","ortoni",0,0,1,1,0
"Penelope montagnii","Galliformes","Cracidae","Penelope","montagnii",0,0,1,0,0
"Penelope marail","Galliformes","Cracidae","Penelope","marail",0,0,1,1,1
"Penelope superciliaris","Galliformes","Cracidae","Penelope","superciliaris",0,0,1,1,1
"Penelope dabbenei","Galliformes","Cracidae","Penelope","dabbenei",0,0,1,1,0
"Penelope purpurascens","Galliformes","Cracidae","Penelope","purpurascens",0,0,1,1,1
"Penelope perspicax","Galliformes","Cracidae","Penelope","perspicax",0,1,1,0,0
"Penelope albipennis","Galliformes","Cracidae","Penelope","albipennis",0,1,1,1,0
"Penelope jacquacu","Galliformes","Cracidae","Penelope","jacquacu",0,0,1,1,0
